Time (minutes),Group,1.413248,8.029409,14.620325,21.303368,27.87647,34.466358,41.107521,47.699044,54.276483,60.925783,67.509818,74.089121
B cell HF 010,B cell HF,5.874303,5.604285,5.342845,4.357883,5.541929,6.165468,10.769585,10.694686,10.871495,6.677042,7.542431,7.201583
B cell HF 010,B cell HF,6.969056,6.442794,6.081051,5.136133,6.546033,6.916194,10.537702,10.74928,10.454318,6.831753,7.315611,7.168182
B cell HF 010,B cell HF,7.676725,7.150002,6.680417,5.034397,6.799732,7.437819,12.138442,11.699427,12.15838,7.700104,8.005525,7.769876
B cell HF 010,B cell HF,8.638697,7.994267,7.629323,6.171677,7.4487,7.735954,13.3405,12.453093,12.286033,8.200596,8.426214,8.181559
B cell HF 010,B cell HF,8.051233,7.568512,7.190429,5.310756,6.906499,7.34701,12.947739,12.636191,12.632838,8.031172,8.027576,8.057201
B cell HF 011,B cell HF,8.140874,7.611454,7.287746,5.306836,7.25761,7.662084,12.875568,12.369005,12.490222,8.065959,8.570187,8.125981
B cell HF 011,B cell HF,7.698856,7.158086,6.758947,5.538206,6.800909,7.386692,12.471939,11.966128,11.665247,7.721564,8.336981,8.032861
B cell HF 011,B cell HF,8.33131,7.221127,6.812399,5.602988,7.032689,7.333315,13.581019,13.135637,13.032417,7.709621,8.334929,8.312592
B cell HF 011,B cell HF,8.692059,7.640514,7.38334,5.417712,7.103824,7.839146,13.625576,13.137699,13.192177,8.284839,8.800062,8.604657
B cell HF 011,B cell HF,7.297591,7.033671,6.803768,4.759404,6.572941,7.132878,12.846114,12.537991,12.350893,7.518092,7.996888,8.027003
B cell HF 012,B cell HF,8.834956,8.162566,7.728885,5.858157,7.428366,8.27866,13.431048,13.118699,13.325901,8.756489,9.176175,8.956542
B cell HF 012,B cell HF,8.222109,7.706448,7.350382,6.101113,7.577864,8.207204,13.723463,13.060724,12.903809,9.186039,9.456362,9.298708
B cell HF 012,B cell HF,7.878187,7.597242,7.01254,5.594343,6.971335,7.509295,12.135387,11.524352,11.578428,8.288807,8.533766,8.401101
B cell HF 012,B cell HF,9.341435,8.612575,8.436774,6.507618,8.796394,8.99737,14.57363,13.806021,14.070529,9.508243,9.67226,9.566194
B cell HF 012,B cell HF,8.998142,7.955928,7.526225,6.151526,7.849722,8.217764,14.794247,14.177327,14.222882,9.091875,9.479733,9.741419
B cell HF 1,B cell HF,5.524501,5.429731,5.425621,4.380424,5.572068,6.005803,11.638168,11.279905,11.609094,6.561711,6.622368,6.672115
B cell HF 1,B cell HF,5.350254,4.816615,4.839173,4.010326,4.865713,5.28542,10.794783,10.628168,11.022778,6.195229,6.264921,6.044591
B cell HF 1,B cell HF,6.256291,5.823173,5.823343,4.40569,5.557476,6.03639,12.843332,12.653034,13.034062,7.354444,7.708129,7.63891
B cell HF 1,B cell HF,5.424964,5.255675,5.020015,4.029644,5.168672,5.23194,11.514245,11.641722,11.7229,6.429442,6.520592,6.666519
B cell HF 1,B cell HF,4.059815,4.041541,3.992575,3.057634,4.120529,4.586632,8.24029,8.01159,8.272361,4.855575,5.208894,5.278261
B cell HF 2,B cell HF,6.662291,6.071958,6.133761,4.645315,6.531144,7.098317,14.70646,14.569017,14.673893,8.127177,8.69129,8.913703
B cell HF 2,B cell HF,7.588339,6.723837,6.824477,5.451576,7.360584,8.020533,15.297129,15.402293,15.313256,8.840217,9.090321,9.394447
B cell HF 2,B cell HF,6.249013,6.025408,5.957819,4.968883,6.669149,7.423873,14.488762,14.220329,14.489827,8.014347,8.408433,8.367713
B cell HF 2,B cell HF,8.298491,7.455368,7.148931,5.634804,7.792452,8.359562,15.81646,16.061664,15.891583,9.457771,10.495974,10.219137
B cell HF 2,B cell HF,7.984045,7.552412,7.683401,6.09687,7.893912,8.846488,15.703699,15.215535,15.356813,9.281863,9.761921,10.098761
B cell HF 2,B cell HF,7.965045,7.702536,7.599428,6.337197,8.236769,9.494111,15.8274,15.555091,15.47981,9.582565,10.117049,10.453629
B cell HF 3,B cell HF,6.331457,5.858256,5.676225,4.719929,5.999497,6.440532,12.496532,12.180074,12.174523,7.255788,7.52873,7.742481
B cell HF 3,B cell HF,6.415541,5.768775,6.057146,4.979283,6.148813,6.477867,13.344072,13.443453,13.038507,7.18652,7.506884,7.613585
B cell HF 3,B cell HF,6.750894,6.476317,6.191705,5.546095,6.158221,7.042695,13.468846,13.307788,13.111408,7.295804,7.604814,7.612219
B cell HF 3,B cell HF,7.219668,6.580177,6.777528,5.407296,6.862083,7.155501,13.474073,13.304593,13.339923,7.320888,7.688313,7.674252
B cell HF 3,B cell HF,6.008632,6.147142,5.875466,4.630494,6.115877,6.982999,12.319663,12.108935,12.363752,7.321021,8.263585,7.756563
B cell HF 4,B cell HF,9.10604,8.771235,8.550913,7.150791,8.588222,9.545574,21.2043,21.197676,21.048014,11.824827,12.388646,12.450795
B cell HF 4,B cell HF,8.747768,8.207752,7.914744,6.838084,8.232971,8.898805,20.234656,20.358907,20.5766,11.093042,11.580612,11.715586
B cell HF 4,B cell HF,9.659911,9.714437,9.523029,7.626809,8.936737,9.972734,20.785455,20.894228,21.264323,11.608184,12.151887,12.16575
B cell HF 4,B cell HF,10.115521,9.528154,9.08513,6.871249,8.245388,9.068417,20.965418,20.787298,20.855669,11.208601,11.819966,11.619126
B cell HF 4,B cell HF,9.370619,8.93837,8.599286,7.111489,8.940293,9.936307,19.055976,18.564783,18.489008,11.532695,12.195876,12.565565
B cell HF 5,B cell HF,9.91653,9.858464,9.775806,7.688304,9.62033,10.987107,24.405049,24.144453,24.626865,15.198921,16.207708,16.295035
B cell HF 5,B cell HF,12.191033,11.316498,11.057611,8.731484,10.482406,11.673032,27.236479,27.203819,27.571137,15.422592,16.582682,16.733817
B cell HF 5,B cell HF,13.274281,12.046147,11.7561,9.147597,11.011899,12.381117,28.879777,28.974183,28.931942,16.350974,17.522993,17.830541
B cell HF 5,B cell HF,11.539762,10.750958,10.367335,8.3795,10.253984,11.275202,27.756704,27.559044,27.83179,15.232514,16.276897,16.426208
B cell HF 6,B cell HF,14.277557,13.470117,13.057221,10.394595,12.413225,14.666516,35.355691,35.342841,35.620956,22.128647,23.663377,23.897871
B cell HF 6,B cell HF,12.508107,11.194654,10.728051,8.45424,10.322993,11.576762,27.124013,27.112724,27.413202,15.64991,16.563451,16.972432
B cell HF 7,B cell HF,8.975323,8.457931,8.15398,5.591688,NaN,6.573171,22.920502,22.849767,22.935871,13.127148,13.987769,13.864465
B cell HF 7,B cell HF,9.271475,8.914656,8.422286,6.068031,7.532643,8.590382,19.871378,19.659114,19.133836,11.100547,12.340799,12.342449
B cell HF 8,B cell HF,11.162091,10.289692,9.814436,6.899471,8.937411,10.187886,23.543429,23.095918,23.844314,14.457901,14.876288,14.695378
B cell HF 8,B cell HF,11.444091,10.78816,10.298237,6.967854,8.980246,10.071702,22.445276,22.552459,22.547157,13.335331,13.971864,13.984998
B cell HF 8,B cell HF,11.923911,10.985767,10.607704,7.737277,9.056484,10.46521,23.734271,23.704658,23.572469,13.806781,14.446353,14.729922
B cell HF 8,B cell HF,10.919707,10.305246,10.262544,9.847292,9.791149,11.422471,28.409594,28.635141,28.621132,16.6635,17.127504,17.416262
B cell HF 9,B cell HF,8.522636,8.034859,7.574026,5.513758,7.511977,8.243635,14.3723,13.983961,13.937915,8.999137,9.534931,9.448287
B cell HF 9,B cell HF,8.687064,7.972172,7.567637,5.883349,7.668784,8.122707,14.602355,14.026163,14.256769,9.372169,9.681889,9.459847
B cell HF 9,B cell HF,8.383286,7.525756,7.204709,5.807364,7.501995,7.718077,14.069976,13.558418,13.526723,8.190126,9.057695,8.813692
B cell HF 9,B cell HF,7.612404,7.131094,6.834305,4.910676,6.721312,7.298918,13.528669,12.993041,13.126036,8.188982,8.744299,8.565608
B cell Lean 010,B cell Lean,7.525958,6.482951,6.168794,4.819538,6.01181,6.39523,11.849754,11.594632,11.545922,6.653541,7.234648,7.006983
B cell Lean 010,B cell Lean,8.537279,7.42245,7.173987,5.428214,7.11779,7.478147,13.683656,13.333553,13.617978,7.830837,8.51844,8.322449
B cell Lean 010,B cell Lean,8.550256,7.481315,7.360575,5.607495,6.972569,7.334921,14.713149,14.072772,13.978654,8.223566,8.684127,8.616758
B cell Lean 010,B cell Lean,8.001919,7.337706,7.158325,5.270408,6.736056,6.904594,13.575312,13.165565,13.178838,7.685693,8.033615,7.966174
B cell Lean 1,B cell Lean,5.929484,5.703475,5.418974,4.339365,5.728081,6.558929,13.572037,13.226889,13.157754,7.598485,7.984222,8.133078
B cell Lean 1,B cell Lean,4.126805,4.227824,4.01902,3.454984,5.208548,5.801577,12.223398,12.155475,12.441495,6.823066,7.056983,7.033751
B cell Lean 1,B cell Lean,6.086647,5.972923,5.870097,4.581478,5.978663,6.543369,13.302316,12.872874,13.13731,7.038804,7.487282,7.52152
B cell Lean 1,B cell Lean,6.522696,6.296427,5.912163,4.765665,6.118816,6.683656,13.938536,13.306034,13.568634,7.815329,7.667019,7.944978
B cell Lean 2,B cell Lean,7.764256,7.367892,7.281206,5.752801,6.840546,7.662152,15.591887,15.249612,15.104306,8.475834,8.838509,8.946862
B cell Lean 2,B cell Lean,6.363926,5.685427,5.978249,4.734168,6.150784,6.906835,13.77853,13.500476,13.577866,7.448455,7.622221,7.874589
B cell Lean 2,B cell Lean,7.011357,6.693293,6.489379,5.177901,6.301046,6.840654,13.451009,12.592837,12.445577,7.176838,7.17239,7.650038
B cell Lean 2,B cell Lean,6.788018,6.170531,6.130635,4.685178,6.164872,6.741819,12.723602,12.880292,12.649546,7.125463,7.514487,7.518014
B cell Lean 3,B cell Lean,6.599579,6.128056,6.31888,4.840063,6.576161,7.2044,14.186199,14.08185,13.67862,8.037386,8.484564,8.359178
B cell Lean 3,B cell Lean,4.686359,4.800292,4.826603,3.82071,5.242913,5.653423,11.648632,12.35175,12.281991,6.728882,6.766159,6.855049
B cell Lean 3,B cell Lean,6.176662,5.690973,5.359609,4.58866,6.035462,6.634899,11.671126,11.653324,11.76139,6.93606,7.147984,7.295239
B cell Lean 3,B cell Lean,5.566955,5.181321,4.929651,3.637505,5.109126,5.833393,12.295518,12.256042,12.390326,6.710631,7.319872,7.161928
B cell Lean 5,B cell Lean,8.654705,8.370351,8.24167,6.289799,7.770721,8.690698,18.802342,18.182127,17.987101,9.81043,10.548197,10.694298
B cell Lean 5,B cell Lean,7.089197,7.058659,7.018901,5.500803,6.862371,7.752065,17.032776,16.53409,16.530932,8.513498,9.084907,9.051434
B cell Lean 6,B cell Lean,7.358957,7.507375,6.906103,4.476095,6.641921,7.540032,17.475641,16.958682,17.415104,9.07192,9.770149,10.203026
B cell Lean 6,B cell Lean,8.046795,7.668666,7.660604,4.759373,7.330916,8.50786,23.268994,22.601767,22.422534,11.409959,12.492081,12.945917
B cell Lean 6,B cell Lean,6.436474,6.930018,6.659873,4.034657,6.375762,6.955888,17.563201,16.892231,17.092942,8.724946,9.628827,9.845602
B cell Lean 7,B cell Lean,7.579018,6.993024,6.827319,4.21862,6.590386,7.476164,17.757696,17.569051,18.109602,9.34963,10.062803,10.456129
B cell Lean 7,B cell Lean,11.044237,10.280948,10.058417,10.551827,9.959467,10.029638,16.997015,18.805297,19.839875,9.746069,10.194575,10.266012
B cell Lean 7,B cell Lean,11.547306,10.88505,10.460155,7.13599,8.881526,9.654484,22.05947,21.570611,21.591174,11.113011,11.844651,12.033013
B cell Lean 7,B cell Lean,9.894579,9.651244,9.056085,6.692827,7.928803,8.849889,21.755472,21.540312,21.501215,10.800954,11.225738,11.366561
B cell Lean 7,B cell Lean,7.588372,7.608904,7.328767,4.810348,7.36798,8.073048,19.879332,18.98809,19.433013,9.9364,10.964642,11.353709
B cell Lean 8,B cell Lean,8.177381,7.491566,7.241516,5.756629,7.496961,7.943694,14.030535,13.819177,13.784237,8.882164,9.482987,9.317485
B cell Lean 8,B cell Lean,7.194918,6.548091,6.399083,5.297604,7.258461,7.992557,14.058562,13.535267,13.524914,9.102336,9.316214,9.19911
B cell Lean 8,B cell Lean,8.212596,8.102224,7.621555,6.194328,8.006902,8.738609,15.344002,14.919525,14.638197,9.252674,9.803062,9.826981
B cell Lean 8,B cell Lean,10.064771,8.892451,8.499348,6.733276,8.521662,9.018782,17.783988,16.82187,16.926896,10.791121,11.041198,11.325741
B cell Lean 9,B cell Lean,7.859538,7.882351,7.323813,5.517224,7.262554,8.053163,13.627111,13.205331,13.219873,8.508913,8.82535,9.103845
B cell Lean 9,B cell Lean,7.848838,7.687947,7.154162,5.371501,6.904041,7.764428,13.906063,13.56692,13.355061,8.304189,8.823264,8.779558
B cell Lean 9,B cell Lean,7.674488,7.381311,6.771615,5.119969,6.558799,7.236883,12.779946,12.086589,12.385863,7.655073,8.274348,8.255237
B cell Lean 9,B cell Lean,7.159101,7.110513,6.811596,5.182333,6.720855,7.541589,12.831171,12.560342,12.335867,8.089697,8.546611,8.259723
B cell Lean 9,B cell Lean,7.674172,7.404684,7.154867,5.465584,6.999399,7.471196,13.300905,12.69063,12.574548,8.117801,8.300554,8.396155
CD4 HF 010,CD4 HF,12.199067,11.983319,11.828715,11.339858,10.988087,11.087445,22.499651,21.031164,20.428234,13.482498,13.094856,12.977113
CD4 HF 010,CD4 HF,17.28462,15.922098,15.84387,17.65412,16.918413,17.084437,43.417376,39.92457,38.905899,20.969089,20.191223,19.82116
CD4 HF 010,CD4 HF,12.340275,11.332069,11.074223,11.73695,11.238888,11.330025,29.085646,26.474094,25.912332,14.19469,13.238735,13.236436
CD4 HF 011,CD4 HF,15.915609,15.035467,14.630865,15.475809,15.127752,15.243343,34.437385,31.589016,30.422662,20.300871,19.5541,19.382507
CD4 HF 011,CD4 HF,18.570344,17.725547,17.432689,18.272566,17.813543,17.989871,41.393211,37.692591,36.593371,21.499373,20.832896,20.514198
CD4 HF 011,CD4 HF,13.538152,13.186494,12.913561,12.910093,12.768354,13.005727,28.082836,26.325224,25.883171,15.647412,15.332688,15.264078
CD4 HF 011,CD4 HF,12.006264,11.333348,11.209713,10.968277,10.902081,11.504736,23.208043,22.01281,22.12255,13.647162,13.550515,13.698527
CD4 HF 011,CD4 HF,16.905354,16.117255,15.989504,15.942645,15.28335,15.830922,30.540425,28.947587,28.17456,17.305113,16.756485,16.948592
CD4 HF 012,CD4 HF,20.325681,19.642092,19.139464,19.575559,19.010428,19.548417,42.577793,40.396084,39.05224,22.735615,22.035149,22.339484
CD4 HF 012,CD4 HF,20.703448,19.295882,19.281077,20.799259,19.989955,20.247043,45.463887,43.704998,41.40419,21.669393,20.322193,20.723731
CD4 HF 012,CD4 HF,17.395276,16.915155,16.524183,16.41562,16.259104,16.423207,34.059543,32.767028,31.504935,17.739679,16.980637,16.635792
CD4 HF 012,CD4 HF,12.996145,12.520878,12.135028,12.147422,11.773894,12.663681,24.698132,23.186642,22.991154,13.614591,13.073018,13.539954
CD4 HF 012,CD4 HF,14.898928,14.460758,14.491612,15.443022,15.001902,15.406445,34.963628,31.965072,31.443664,18.253976,17.285019,16.950494
CD4 HF 2,CD4 HF,6.545506,5.983369,6.067377,5.953096,5.709659,5.716742,15.852096,15.235804,14.728234,7.780776,6.974547,6.894425
CD4 HF 2,CD4 HF,6.184045,5.637174,5.42862,6.726288,6.338255,6.038931,16.212067,15.51179,15.520418,8.33094,7.926306,7.642039
CD4 HF 2,CD4 HF,6.35813,5.959979,5.979361,5.824731,5.881061,5.782468,16.070435,15.17861,15.099172,8.406651,7.741538,7.818078
CD4 HF 2,CD4 HF,7.139163,6.919617,6.509927,8.215445,7.95519,7.800334,20.646571,20.22263,19.969825,12.139333,11.673238,10.947944
CD4 HF 2,CD4 HF,7.226154,7.199562,6.89225,7.178766,6.981739,7.19292,15.222327,14.532808,14.595747,7.72327,7.781963,8.212405
CD4 HF 2,CD4 HF,5.043663,4.930764,4.892358,5.303957,5.243484,5.424776,11.103142,10.749265,10.767746,6.586088,6.52965,6.639756
CD4 HF 3,CD4 HF,10.64569,9.718739,9.501865,9.954529,9.805428,9.601599,23.859509,23.040222,22.518563,13.715059,13.293312,12.810906
CD4 HF 3,CD4 HF,12.144123,11.563603,11.179636,11.357634,10.713938,10.961656,27.193067,26.671677,26.23636,14.575031,14.267554,13.808028
CD4 HF 3,CD4 HF,11.533262,10.343142,10.457827,10.95569,10.703012,10.550915,25.475861,25.007755,24.594011,13.266743,12.949084,12.682942
CD4 HF 3,CD4 HF,10.376,9.318582,9.296517,9.950386,9.27272,9.37358,24.207111,23.395859,22.88558,12.171183,11.975769,11.777674
CD4 HF 3,CD4 HF,10.406548,10.025796,9.885465,9.885094,9.770458,10.068456,25.719103,24.547441,24.308339,12.825545,12.52844,12.666105
CD4 HF 4,CD4 HF,5.03614,4.943481,4.759626,5.013538,5.2503,5.022096,10.276681,9.89139,9.597797,6.219429,5.984288,5.838118
CD4 HF 4,CD4 HF,6.794112,6.04014,6.168536,6.166019,5.940369,5.941173,12.078903,11.66783,11.461761,6.929449,6.586418,6.685542
CD4 HF 4,CD4 HF,4.394209,4.214578,4.10654,4.620932,4.501333,4.449258,9.515082,9.452836,9.332032,5.886135,5.599465,5.211175
CD4 HF 4,CD4 HF,6.845453,6.705089,6.722677,6.824527,6.754084,6.966681,15.263288,14.569122,14.147784,8.069634,7.700498,7.776058
CD4 HF 4,CD4 HF,6.401526,6.408142,6.120549,5.677041,5.6315,5.863128,10.028735,9.919746,9.829096,5.95751,6.11033,6.363787
CD4 HF 4,CD4 HF,4.501833,4.4751,4.20728,3.884097,3.890061,3.897787,6.573605,6.353093,6.472704,3.905309,4.086195,4.1375
CD4 HF 5,CD4 HF,8.640862,7.684256,7.504203,8.202341,7.602999,7.70079,15.386615,14.564435,14.71011,8.834431,8.231139,8.193133
CD4 HF 5,CD4 HF,9.854239,9.150206,8.863197,9.755407,9.024924,9.446303,19.155628,18.078436,17.731368,9.964571,10.048696,9.820148
CD4 HF 5,CD4 HF,7.254195,6.66079,7.102907,7.510076,7.232553,6.868809,15.888834,14.927318,14.693059,8.077234,8.303716,7.750422
CD4 HF 5,CD4 HF,8.114195,7.57241,7.385512,7.651018,7.170164,7.126441,14.594438,13.934118,13.798362,8.389387,8.307358,8.233008
CD4 HF 5,CD4 HF,9.917937,9.807049,9.141443,9.951896,9.272887,9.146538,18.853634,17.260894,16.296274,10.962896,10.632734,10.137799
CD4 HF 6,CD4 HF,9.753922,9.164733,9.05644,8.790052,8.728346,8.826575,19.69647,19.543223,19.006022,10.178238,9.95533,9.945151
CD4 HF 6,CD4 HF,8.394573,7.798618,7.82811,7.549444,7.305066,7.733887,15.710158,15.590144,15.458144,8.389549,8.020366,8.187464
CD4 HF 6,CD4 HF,9.232742,8.76071,8.25665,8.190782,8.038008,7.631522,19.033099,18.444754,18.063805,9.447956,9.071729,8.86653
CD4 HF 6,CD4 HF,10.061686,9.538222,9.082559,9.076619,8.764818,8.856942,20.746756,20.318179,19.972706,10.448454,10.273555,9.828522
CD4 HF 6,CD4 HF,10.616302,10.644094,10.193577,10.783185,10.16865,9.830748,22.724094,22.80193,22.352824,11.204886,11.154967,10.499174
CD4 HF 7,CD4 HF,12.038745,11.663014,11.398899,11.201459,10.91354,11.169616,27.473845,26.254546,25.432024,13.131663,13.133652,12.360318
CD4 HF 7,CD4 HF,7.811792,7.693626,7.429328,7.01689,7.125361,7.107025,14.885717,13.953187,13.752028,8.124107,7.808503,7.399324
